"candidate_id","location_city","city_dev_score","sex","prior_experience","university_enrollment","academic_qualification","field_of_study","work_experience_years","employer_size","employer_type","time_since_last_job_change","hours_of_training","target"
8949,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","","","1",36,"1"
11561,"city_21",0.624,"","No relevent experience","Full time course","Graduate","STEM","5","","","never",83,"0"
33241,"city_115",0.789,"","No relevent experience","","Graduate","Business Degree","<1","","Pvt Ltd","never",52,"1"
666,"city_162",0.767,"Male","Has relevent experience","no_enrollment","Masters","STEM",">20","50-99","Funded Startup","4",8,"0"
21651,"city_176",0.764,"","Has relevent experience","Part time course","Graduate","STEM","11","","","1",24,"1"
402,"city_46",0.762,"Male","Has relevent experience","no_enrollment","Graduate","STEM","13","<10","Pvt Ltd",">4",18,"1"
27107,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","7","50-99","Pvt Ltd","1",46,"1"
699,"city_103",0.92,"","Has relevent experience","no_enrollment","Graduate","STEM","17","10000+","Pvt Ltd",">4",123,"0"
29452,"city_21",0.624,"","No relevent experience","Full time course","High School","","2","","","never",32,"1"
25619,"city_61",0.913,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","1000-4999","Pvt Ltd","3",23,"0"
5826,"city_21",0.624,"Male","No relevent experience","","","","2","","","never",24,"0"
6588,"city_114",0.926,"Male","Has relevent experience","no_enrollment","Graduate","STEM","16","Oct-49","Pvt Ltd",">4",18,"0"
4167,"city_103",0.92,"","Has relevent experience","no_enrollment","Graduate","STEM","1","50-99","Pvt Ltd","never",106,"0"
5764,"city_21",0.624,"","Has relevent experience","no_enrollment","Graduate","STEM","2","5000-9999","Pvt Ltd","2",7,"0"
2156,"city_21",0.624,"","Has relevent experience","no_enrollment","Graduate","STEM","7","10000+","Pvt Ltd","never",23,"1"
19061,"city_114",0.926,"Male","Has relevent experience","no_enrollment","Masters","STEM","11","100-500","Pvt Ltd","2",50,"0"
6491,"city_102",0.804,"","Has relevent experience","no_enrollment","Masters","STEM","10","","","1",48,"0"
7041,"city_40",0.776,"Male","Has relevent experience","no_enrollment","Graduate","Humanities","<1","1000-4999","Pvt Ltd","1",65,"0"
22767,"city_21",0.624,"","Has relevent experience","no_enrollment","Graduate","STEM","5","1000-4999","Pvt Ltd","1",13,"0"
14505,"city_67",0.855,"","No relevent experience","no_enrollment","High School","","4","","","never",22,"0"
17139,"city_21",0.624,"","Has relevent experience","Part time course","Graduate","STEM","14","500-999","Pvt Ltd","1",148,"1"
28476,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","Arts","5","","","2",72,"0"
14928,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","100-500","Pvt Ltd","3",40,"0"
26966,"city_160",0.92,"Female","Has relevent experience","no_enrollment","Graduate","STEM",">20","100-500","Pvt Ltd",">4",82,"0"
26494,"city_16",0.91,"Male","Has relevent experience","no_enrollment","Graduate","Business Degree","12","5000-9999","Pvt Ltd","3",145,"0"
12726,"city_114",0.926,"Male","No relevent experience","Part time course","High School","","1","10000+","Other","1",152,"0"
8612,"city_103",0.92,"","No relevent experience","no_enrollment","Graduate","STEM","12","","","4",50,"0"
24659,"city_71",0.884,"Male","No relevent experience","no_enrollment","","","3","","","never",106,"0"
13854,"city_104",0.924,"Male","Has relevent experience","no_enrollment","High School","","4","Oct-49","Pvt Ltd","2",36,"0"
31654,"city_21",0.624,"","Has relevent experience","no_enrollment","Masters","STEM","6","50-99","Early Stage Startup","1",112,"1"
13643,"city_64",0.666,"","No relevent experience","no_enrollment","Graduate","No Major","9","50-99","Pvt Ltd","never",108,"0"
5590,"city_21",0.624,"Male","Has relevent experience","Part time course","Masters","STEM","9","5000-9999","Pvt Ltd","3",7,"1"
22452,"city_21",0.624,"Female","No relevent experience","Full time course","Masters","STEM","5","","","never",26,"1"
28512,"city_104",0.924,"","Has relevent experience","no_enrollment","Masters","STEM","3","<10","Early Stage Startup","2",7,"0"
1023,"city_114",0.926,"Male","No relevent experience","Full time course","High School","","4","10000+","Pvt Ltd","1",43,"0"
12253,"city_104",0.924,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","100-500","Pvt Ltd","1",45,"0"
